FID,Name,FolderPath,SymbolID,AltMode,Base,Snippet,PopupInfo,HasLabel,LabelID,Type_,Juris,Latitude,Longitude
11,10. Springs,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Rebalancing Areas,0,-1,0, ,"<img src=""""https://doc-04-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/pnd6a8aespimih8l19l01kt52s/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALouHYOfOBCAkQMv1SHifwaNWdk7saKyXPMfBOYuUP58xKHDtndLJTMS4ZHwFkr2O-",-1,0,UF Staging/Parking Area,University of Florida,29.64916152,-82.35727535
12,11. Garage IV,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Rebalancing Areas,0,-1,0, ,"<img src=""""https://doc-0g-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/brcj30rk3him7ak810dc0shhec/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALqJBuclBMPMMLRczj-kv1xFFbc8ZueBd2Qx-KagCwenDONOwDZ_TKFxeEX8Y8xY-Y",-1,0,UF Staging/Parking Area,University of Florida,29.64549239,-82.34260112
13,12. Fifield Hall Green Lot,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Rebalancing Areas,0,-1,0, ,"<img src=""""https://doc-0g-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/r5ei2qdjr5citrskdjs71q8r18/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALpMMFrlrNxSLX0NRbuvey6JBzkRYafyG2f807QdUnSVusDO4joQZIOSeU7ZD8FALB",-1,0,UF Staging/Parking Area,University of Florida,29.63870691,-82.36079745
14,13. Corry Village (HOUSING),04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Rebalancing Areas,0,-1,0, ,"<img src=""""https://doc-08-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/66akq74ue9g77cods1ue2fug9c/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALonpv2EYQB5OpapdlD0wxLrvLZi6jnHMzr5mZMjnICmw4m91fQ_OvIEAM5rrk5AYF",-1,0,UF Staging/Parking Area,University of Florida,29.64653899,-82.36200215
15,1. Fine Arts,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking,1,-1,0, ,"<img src=""""https://doc-0o-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/m2m6ot0sp86o1rcl9kaovo01kc/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALrHFOY_RFgljkKwol31D_pkcq4Byni3qy0f0DvoQNN4e0gISMyT3GKx70Etz-OKDS",-1,0,UF Parking Area,University of Florida,29.64847658,-82.34053906
16,2. SW Rec,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking,1,-1,0, ,"<img src=""""https://doc-0g-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/os7ied489kvuuvkikfahquih1c/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALqP_97jOksRk3lN8x_T8m6sCM56wYue7125xBtX_4iCJvZ4krTICwNi7PbBHg9EGk",-1,0,UF Parking Area,University of Florida,29.63848066,-82.36833193
17,3. Cancer Genetics Research Center,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking,1,-1,0, ,"<img src=""""https://doc-0o-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/3eealj2c0hcsrqoh3ghj2123kg/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALpWFztHFG196fRKcwx_SaKsdexkLWHVf4_RKXxEss3WXbL5FGnsuLQzKy5gk0SrNq",-1,0,UF Parking Area,University of Florida,29.63897228,-82.3514294
18,4. Marston Library East,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking,1,-1,0, ,"<img src=""""https://doc-0c-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/74a2n9oj74k66am2lobpi1sne4/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALoNuqX_In3qHjkAPMz8I1KP-JbSiorCuBjmiGg5BAESmeLWVbnPbuIljwJcYvRiSB",-1,0,UF Parking Area,University of Florida,29.6483384,-82.3437462
19,5. Gator Corner (HOUSING),04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking,1,-1,0, ,"<img src=""""https://doc-14-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/h6oso6k29dvfikku9d82csdkqg/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALpB5Bkd3M1AUH1ndRl7XiGDPYsKSRW9SkEv77eqWXMFZCKxIp3u8B6FgV0EpgI8Or",-1,0,UF Parking Area,University of Florida,29.64833837,-82.35017395
20,6. Physics,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking,1,-1,0, ,"<img src=""""https://doc-10-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/0748bok3g348n5pb00j3bat8jc/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALq0A0clsM1ZhdI3Z-f46rC0lzB453Ywlu1fqYglTfV5rT91EZ-OWEqIWysre3xcEO",-1,0,UF Parking Area,University of Florida,29.64399694,-82.34978606
